Name,Grid
"Aap R.","D3"
"Aar R.","F10"
"Aasvoëlnes","J3"
"Aba Huab R.","D4"
"Abenab","H3"
"Abenteurbaai","E10"
"Achab R.","C4"
"Achaub R.","F7"
"Adam R.","G2"
"Aha Hills","J3"
"Ai-Ais","G11"
"|Ai-|Ais Hot Springs Game Park","G11"
"Aiams Plains","G3"
"Aigamas Cave","G3"
"Aikhab R.","D5"
"Aitsumub R.","G9"
"Akam R.","F10"
"Albatross Is.","E11"
"Alexesi R.","H5"
"Amarika","E2"
"Ambrose Bay","C5"
"Ameib R.","E5"
"Amilema","F2"
"Aminius","I7"
"Aminuis Corridor","I7"
"Amis R.","D5"
"Andara","K2"
"Andoni Plains","F2"
"Angra Fria","A2"
"Anib Pan","F11"
"Anib R.","F11"
"Anichab","D3"
"Anichab","D7"
"Anigab","E10"
"Anigab Salt Pan","E10"
"Anixab","D4"
"Annex Pan","H9"
"Apollo 11 Cave","G11"
"Arandis","D6"
"Aranos","I8"
"Arasab R.","F11"
"Areb R.","H11"
"Ariamsvlei","I12"
"Arib R.","H11"
"Arimas R.","F11"
"Aris","G6"
"Arises R.","E5"
"Arnhem Cave","H6"
"Aroab","I10"
"Aroab R.","E5"
"Arus R.","H12"
"Aruvlei","E7"
"Asab","G9"
"Asab R.","G9"
"Asbosvlakte","G11"
"Atlas Bay","E10"
"Auas Mts","G6"
"Aub R.","C3"
"Aub R.","F8"
"Aub R.","G8"
"Aub R.","G10"
"Audawib R.","E6"
"Augums R.","E6"
"Auros R.","G8"
"Auros R.","H12"
"Aurus","D10"
"Aurusberg","F11"
"Aus","F10"
"Aussenkehr","G12"
"Aussinanis R.","E7"
"Averas R.","I11"
"Avis Dam","G6"
"Awasib R.","E9"
"Awasiberge","E9"
"Axab R.","I7"
"Axel Eriksson’s Grave","G3"
"B2 Gold Mine","G4"
"Bagani","K2"
"Bak R.","I11"
"Baker’s Bay","E11"
"Baobab Tree","H2"
"Barab R.","C3"
"Baraka","J3"
"Baramashoni","J2"
"Batubaja","M2"
"Baumgartsbrunn","F6"
"Baynes Mts","B1"
"Beiseb Plains","F2"
"Beisebvlakte Pan","G2"
"Berg Aukas","H3"
"Bergsig","D4"
"Berseba","G9"
"Bethanie","G10"
"Biro","K2"
"Black Cliff","D7"
"Black Cliffs","D9"
"Black Nossob R.","H6"
"Black Point","E11"
"Black Reef","D8"
"Bladwes","H10"
"Blaukrans","G6"
"Blinkpan","G12"
"Blouberg","I6"
"Bloubeslaagte R.","H12"
"Blydeverwacht Plateau","I12"
"Blue Lagoon","N1"
"Boegoeberg","E11"
"Bogenfels Arch","E11"
"Bogenfels Salt Pan","E11"
"Bohale Mine","E5"
"Bootbaai","E10"
"Bosluis Baai","A1"
"Brakwater R.","H6"
"Brandberg","D5"
"Breer R.","F10"
"Brandberg West Mine","D4"
"Brukkaros","G9"
"Brukkaros Mt","G9"
"Buitepos","I6"
"Bukalo","N1"
"Büllsport","F8"
"Bunya","I1"
"Burnt Mountain","D4"
"Bushman Hill","E9"
"Bwabwata National Park","L1"
"Bwabwata-Okavango Ramsar Site","K2"
"Cakuma","J2"
"Cameron","E5"
"Cape Cross Salt Pan","C5"
"Cape Cross Seal Reserve","C5"
"Cape Fria","A2"
"Cape Fria Salt Pan","B2"
"Chamaseb R.","G9"
"Chameis Bay","E11"
"Chameis Pan","E11"
"Chapman’s R.","I6"
"Chausib R.","E7"
"Chetto","L1"
"Chinchimane","N1"
"Choadanib R.","F10"
"Chobe R.","N1"
"Choi","M1"
"Chouxab R.","E6"
"Chowagasberg","E9"
"Chumberge","G11"
"Chuosberge","E6"
"Conception Bay","D7"
"Cuvelai R.","E1"
"Cwa","J2"
"Daan Viljoen Game Park","56"
"Dabib R.","G8"
"Dancence","J2"
"Daneib R.","J4"
"Dassiefontein R.","H11"
"Davignab R.","H12"
"Dawib R.","E5"
"Derm","H7"
"Desi","H1"
"Diab R.","F7"
"Diaz Point","E10"
"Die Rondeduin","D7"
"Diederickskruis","J4"
"Diep R.","E8"
"Diep R.","F9"
"Diep R.","H11"
"Dikweya R.","H1"
"Dikke Willem","F10"
"Divayi","K2"
"Divundu","K2"
"Diyana","K2"
"Dobe","J3"
"Dobra","G6"
"Dobra R.","F6"
"Doisi R.","E6"
"Dolomite Camp","D3"
"Dolphin Head","D9"
"Dorn R.","F6"
"Dorob National Park","C5"
"Doros Crater","D4"
"Dorstland Ruins","C2"
"Dorstland Trekker Monument","C1"
"Dosa","J2"
"Douglas Point","D10"
"Dreamland Mine","F6"
"Dreihuk R.","H12"
"Dreimastersbaai","E11"
"Driedoornvlakte Fossil Site","F7"
"Drimiopsis","I6"
"Du Plessis","I5"
"Duineveld","G7"
"Dumfudgeon Rocks","E10"
"Dumushi","J2"
"Dune Point","C4"
"Dunkelwand Punt","E11"
"Durissa Bay","C5"
"Duwisib Castle","F9"
"Duwisib R.","E9"
"Duwisiberplatte","F9"
"Easter Point","D9"
"Ebony R.","E6"
"Edundja","F1"
"Elizabeth Bay","E10"
"Elundu","F1"
"Elizabeth Bay","E10"
"Endola","E1"
"Engela","E1"
"Engo Valley","A2"
"Enkono","E1"
"Elizabeth Bay","E10"
"Enoch R.","H9"
"Enyana","G1"
"Epembe","C1"
"Epembe","F1"
"Epinga","F1"
"Epoko","E1"
"Epukiro","I5"
"Epukiro R.","J5"
"Erindu R.","F4"
"Erongo Mts","E5"
"Erongo Region","E5"
"Erora R.","D2"
"Erundu R.","F4"
"Erwee","D3"
"Etaka R./Canal","E2"
"Etanga","C1"
"Etemba Rock Paintings","E5"
"Etendeka Mts","B2"
"Etengwa","C1"
"Etilyasa","E1"
"Etiro R.","E5"
"Etosha National Park","E2"
"Etosha Pan","F2"
"Etosha Pan Ramsar Site","F2"
"Etoto","D1"
"Eunda","D1"
"Facherberg","F9"
"Farm Aar Fossil Site","F10"
"Finger of God (fallen)","H9"
"Fischflussrücken","G11"
"Fish R.","G11"
"Fish R. Canyon","G11"
"Fort Sesfontein","C3"
"Fransfontein","E4"
"Friedenau Dam","F6"
"Fumbe","J1"
"Fumbe R.","J2"
"Gaab R.","H11"
"Gabis","H12"
"Gaes R.","C3"
"Gagamso R.","C2"
"Gainachas","G9"
"Gallovidia Reef","D10"
"Gam","J4"
"Gamchab R.","G12"
"Gamgamb R.","G8"
"Gamikaub R.","E6"
"Gamkabmond","G12"
"Gamsa","J3"
"Gamsberg","F7"
"Ganams R.","F6"
"Ganamub R.","C2"
"Ganeib R.","I11"
"Ganias R.","B3"
"Gaputzpan","I11"
"Garab R.","H10"
"Garib-Ost","G7"
"Garichanab R.","H8"
"Garub R.","G9"
"Gasa R.","E4"
"Gaub R.","F7"
"Gautscha Pan","J3"
"Gava","H1"
"Gawachab R.","G9"
"Gawagam R.","G10"
"Gawib R.","E6"
"Gcaruhwa","H2"
"Gcwatjinga","I2"
"Gecko Salt Mine","D5"
"Geidum R.","I11"
"Geisebberg","E6"
"Geitjannas R.","I10"
"Gemsbok R.","G11"
"Gemsboklaagte R.","J5"
"Gibraltar","D10"
"Gifkoppie R.","F5"
"Giraffenberge","C2"
"Giribes Plains","C3"
"Goab R.","E5"
"Goab R.","G9"
"Goabeb","E5"
"Goageb","G10"
"Goagos R.","E7"
"Goantagab R.","D4"
"Gobabeb","D7"
"Gobabis","I6"
"Gobaub Plains","F3"
"Gobobosebberge","D5"
"Goneib R.","F6"
"Gora R.","G11"
"Goreangab Dam","G6"
"Gorra R.","H11"
"Gras","G8"
"Grillenthal","E10"
"Groendraai","F7"
"Groot Aub","G6"
"Groot Karasberge","H11"
"Grootberg","D3"
"Grootduin","I6"
"Grootfontein","H3"
"Grootlaagte R.","J5"
"Grootlaagte R.","H12"
"Grootpan","H9"
"Grootrooiberg","E5"
"Grootspitskop","E5"
"Grootvaalgraspan","H10"
"Grootvlakte","E3"
"Gross Barmen Hot Springs","F6"
"Gross Herzog Friedrich Berg","G6"
"Grosse Bucht","E10"
"Grosse Münzenberg","E11"
"Grünau","H11"
"Grundorner R.","G9"
"Guinasibberg","E9"
"Gunib R.","H4"
"Gunkwe","N1"
"Gurib R.","G10"
"Guruchab R.","H10"
"Gurumanas R.","F6"
"Gurus R.","I11"
"Gwaa-nwi Pan","J3"
"Gwashuui R.","E1"
"Haals R.","F7"
"Haib R.","H12"
"Haiber Flats","E9"
"Hainazichab R.","G10"
"Hakos R.","F7"
"Hakosberge","F7"
"Halali","F3"
"Halifax Is.","E10"
"Haliu R.","I1"
"Ham R.","I12"
"Hamib R.","H11"
"Hamilton Mts","D7"
"Hammansklip","J4"
"Hangas R.","I11"
"Hardap Dam","G8"
"Hardap National Park","H8"
"Hardap Region","G8"
"Harib R.","H11"
"Harracha R.","F11"
"Harughas R.","F8"
"Haseweb R.","F9"
"Hasis R.","E6"
"Haum R.","H9"
"Haum R.","H10"
"Hebron Fault","F8"
"Heinrichsberg","E7"
"Heioab","E11"
"Heirachabis","I12"
"Helena","J5"
"Helmering R.","F9"
"Helmeringhausen","F9"
"Henties Bay","D6"
"Heusis R.","F6"
"Hippo","I6"
"Hoachanas","H7"
"Hoanib R.","B3"
"Hoarusib R.","B2"
"Hoba Meteorite","G3"
"Hochfeld","G5"
"Hoffnung Dam","G6"
"Holoog","G11"
"Holoogberg R.","G11"
"Hom R.","H11"
"Hom R.","H12"
"Honip R.","D3"
"Hot Springs","G11"
"Hottentot’s Bay","D10"
"House of Dorstland Trekkers","D2"
"Huab R.","C4"
"Huabmond","C4"
"Huams R.","G9"
"Huchkab R.","H11"
"Hudup R.","G9"
"Huib-Hoch Plateau","F11"
"Hunkab R.","C3"
"Huns Mts","G11"
"Huns R.","H9"
"Huns R.","G11"
"Huns R.","H10"
"Husab Mine","E6"
"Husabberg","E6"
"Ibbu","N1"
"Ichaboe Is.","D10"
"Iilyateko","D1"
"Ikumwe","N1"
"Ilhea Point","D7"
"Imkerhof","G5"
"Impalila Is.","O1"
"Indibi R.","O1"
"Ioma","N1"
"Iseke","N1"
"Isirub R.","E10"
"Isize","N1"
"Itomba","N1"
"Izwi","M1"
"Jagdberg","E6"
"Jakkalsberg","G3"
"Jakkalsput","D6"
"Joubert Mts","C2"
"Kaaikop R.","F6"
"Kaan R.","F6"
"Kabbe","N1"
"Kabere","B2"
"Kadoab R.","D5"
"Kaes R.","I11"
"Kaffer R.","H9"
"Kaguni","H1"
"Kahenge","H1"
"Kainab R.","H11"
"Kainab R.","I12"
"Kainamatoje R.","G6"
"Kaizab R.","H9"
"Kakatswa R.","D3"
"Kalengwe R.","N1"
"Kalf R.","G7"
"Kalkfeld","F4"
"Kalkhaute R.","G7"
"Kalkrand","G8"
"Kalkrand Pan","G7"
"Kaltenhausenberg","E6"
"Kam R.","F8"
"Kamanjab","D3"
"Kamanjab R.","D3"
"Kamaseb R.","F8"
"Kamberge","E7"
"Kameel R.","G10"
"Kameel R.","G11"
"Kameel R.","I12"
"Kamidamab R.","G8"
"Kamkas R.","F8"
"Kamupupu","H1"
"Kanas R.","G10"
"Kandjara","J2"
"Kanebis R.","G11"
"Kangas","G7"
"Kangongo","K1"
"Kangundja","K2"
"Kangus R.","H10"
"Kanibes R.","G9"
"Kanis R.","F11"
"Kankudi","H1"
"Kannenberg R.","I10"
"Kanoma R.","F5"
"Kanono","N1"
"Kanovlei","I3"
"Kanovlei","I3"
"Kaoab R.","G8"
"Kaoko Otavi","C2"
"Kaokoveld","B2"
"Kapako","I1"
"Karakuta","J1"
"Karanas","F7"
"Karasburg","H12"
"Karibib","E5"
"Karibib R.","F8"
"Karingarab","F12"
"Karubeamsberge","G7"
"Karuhiva R.","E5"
"Karukuvisa","I2"
"Kasara","H1"
"Sand R.","F10"
"Sand R.","G8"
"Sandamap R.","E5"
"Sandsteenberg","E7"
"Sandwich Harbour","D7"
"Sandwich Harbour Ramsar Site","D7"
"Sangwali","M2"
"Sanitatas","B2"
"Sauyemwa","I1"
"Sawurogab R.","C3"
"Schakalberg","F12"
"Schlangen R.","F6"
"Schlesien","E7"
"Schlip","G8"
"Schlip R.","F7"
"Schrooenstein","H11"
"Schwabental","G10"
"Sandamap R.","E5"
"Schwarze Kuppen","C2"
"Seabird Guano Mine","D5"
"Seal Is.","E10"
"Sechomib R.","B2"
"Sekretarispan","G8"
"Seeheim","G10"
"Seeis","G6"
"Seeis R.","G6"
"Sendelingsdrift","F12"
"Sesfontein","C3"
"Sesheke","M1"
"Sesriem","E8"
"Sha Nkanga Pan","D1"
"Shadikongoro","I2"
"Shaditunda","K2"
"Shallow Breakers","C4"
"Shamaturu","K2"
"Shambyu","J1"
"Shamunaro","K2"
"Shamurombwe","K2"
"Shanondho","K2"
"Sharukwe","I2"
"Shighuru","J1"
"Shinyungwe","J2"
"Shishidjo","J2"
"Shitemo","J1"
"Sibbinda","M1"
"Sifuha","N1"
"Sikarosompo","H1"
"Sikereti","J3"
"Siko","H1"
"Silikunga","H1"
"Silumbi","N1"
"Simanya","H1"
"Sinclair Is.","E11"
"Singalamwe","M1"
"Sinzogoro","I1"
"Sisungu","I2"
"Skaap R.","G7"
"Skaap R.","G10"
"Skeleton Coast National Park","B2"
"Skilderkop","E6"
"Skorpion Zinc Mine","F11"
"Slaaipoort","F7"
"Slang R.","F5"
"Slangkoppies","H10"
"Sney R.","F5"
"Snyfontein","G10"
"Solitaire","F7"
"Sossusvlei","E8"
"Sout R.","D4"
"Spencer Bay","D9"
"Sperrgebiet Diamond Mining","E10"
"Spitskop R.","D5"
"Spitzkoppe","E5"
"Springbok R.","C4"
"Sprokieswoud","E3"
"Sputloop R.","G11"
"Sputoop R.","G11"
"St. Francis Bay","D9"
"St. Michael’s Mission","E3"
"Stampriet","H8"
"Stampriet R.","H10"
"Staple Rocks","D10"
"Steenboklaagte R.","J5"
"Steilrand Mts","C1"
"Steinhausen","H5"
"Stolshoek","I5"
"Thipanana","K2"
"Sturmhaube","E10"
"Sugarloaf Hill","C4"
"Summerdown","H5"
"Swakop R.","D6"
"Swakopmund","D6"
"Swakopmund Guano Mine","D5"
"Swakoppoort Dam","F6"
"Swarskaap R.","F7"
"Swart Gausob R.","H11"
"Swart Kaitsaib R.","G9"
"Swartbooisdrif","C1"
"Swartkloofberge","F11"
"Swartmodder R.","F7"
"Swartput se Pan","I10"
"Sylvia Hill","D9"
"Tafelberg","G12"
"Talismanis","J5"
"Tamtam","I2"
"Tandjieskoppe","G12"
"Tantalite Valley","H12"
"Taratara","J2"
"Tclabasche R.","J2"
"Terrace Bay","C4"
"Theronsvallei","J4"
"Thipanana","K2"
"Thilda Viljoen Dam","H6"
"Tinkas R.","E6"
"Tinkasvlakte","E6"
"Tioba R.","H1"
"Tirasberge","F10"
"Tjeye","J1"
"Tjohwa","H1"
"Tjova","K1"
"Toanib R.","E6"
"Toasis Pan","I7"
"Tomakas","C2"
"Tondoro","H1"
"Thilda Viljoen Dam","H6"
"Tönnesenberg","C2"
"Torra Bay","C4"
"Torra Bay Salt Pan","C4"
"Toscanini","C4"
"Tsabiams","E11"
"Sandamap R.","E5"
"Tsachanabis R.","F10"
"Tsamvlakte","F10"
"Tschudi Mine","G3"
"Tsintsabis","G2"
"Tslab R.","D5"
"Tsondab R.","E7"
"Tsondabvlei","E7"
"Tsub R.","G8"
"Tsumeb","G3"
"Tsumis","G7"
"Tsumis R.","G7"
"Tsumis-Park","G7"
"Tsumkwe","J3"
"Tsuxab R.","C3"
"Tubusis","E5"
"Tuguva","H1"
"Tumas R.","D6"
"Tumasvlakte","E7"
"Tumaub","F10"
"Tweeputte","J3"
"Twyfelfontein","D4"
"Twyfelspruit","E4"
"Ubabis R.","G12"
"Ubiam R.","G8"
"Ubib Dam","H12"
"Ubib R.","E7"
"Udabis R.","I12"
"Ugab R.","D4"
"Ugabmond","C5"
"Uguchab R.","F11"
"Ugunaris R.","H10"
"Uhlenhorst","G7"
"Uibis","G8"
"Uigaran","E5"
"Uis","D5"
"Uis R.","D5"
"Uis Tin Mine","D5"
"Uisberge","D5"
"Uisib","G7"
"Ukama R.","E10"
"Umbakana R.","F4"
"Umbujosam R.","F5"
"Umgab R.","F8"
"Uniab R.","C4"
"Uniabmond","C4"
"Uramin Mine","D6"
"Uri-Hauchab","E9"
"Urundu R.","E4"
"Ururas R.","C2"
"Usakos","E5"
"Usib R.","G6"
"Usivi","H1"
"Uukango","F1"
"Uukwangula","E1"
"Uukwiyuushona","E2"
"Uutsathima","D2"
"Vaalput R.","H11"
"Vaalwater","G2"
"Van Rhijn Dam","H10"
"Velloor R.","I12"
"Velloorsdrif","I12"
"Verbrandeberg","D4"
"Vet R.","I10"
"Vingerklip","E4"
"Von Bach Dam","F5"
"Von Bach Game Park","F6"
"Von Franscois Fort","F6"
"Waldau R.","F5"
"Waldfrieden","F5"
"Walvis Bay","D6"
"Walvis Bay Ramsar Site","D6"
"Walvis Bay Salt Marsh","D6"
"Warmbad","H12"
"Warmquelle","C3"
"Waterberg Mtn","G4"
"Waterberg Plateau Park","G4"
"Waterberg R.","G4"
"Watervat R.","E7"
"Weissenfels","F7"
"Weissrand Plateau","H9"
"Werda","D3"
"Werda","G2"
"Whale Rock Mine","F4"
"White Hills","B1"
"White Lady","D5"
"White Nossob R.","H6"
"Wildehond R.","E6"
"Wilhelmstal","F5"
"Windhoek","G6"
"Wit Gausob R.","H11"
"Witberg","E8"
"Witberg R.","E7"
"Witvlei","H6"
"Witvleispruit","H8"
"Witwater R.","E6"
"Wlotzkasbaken","D6"
"Wolf Bay","E10"
"Wolf Pan","I7"
"Wortel R.","H10"
"Xaraxab R.","H6"
"Xawashe","J3"
"Xeidang","J2"
"Yakandonga R.","F4"
"Yinsu","H1"
"Zambezi Region","M1"
"Zambezi R.","N1"
"Zamnarib R.","G8"
"Zebra Mts","C1"
"Zebra R.","F8"
"Zone","H1"
"Zweikuppenberg","E10"